imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average
tt0935075,Rabbit Hole,2010,Drama,5000000,5129058,6.8
tt0938283,The Last Airbender,2010,Action,150000000,318502923,4.6
tt0940656,Arthur 3: The War of the Two Worlds,2010,Adventure,70200000,0,5.6
tt0942906,White Knuckles,2010,Drama,0,0,5.4
tt0944835,Salt,2010,Action,110000000,293329073,6.3
tt0947798,Black Swan,2010,Drama,13000000,327803731,7.6
tt0947810,Green Zone,2010,Action,100000000,94882889,6.4
tt0954947,The Killer Inside Me,2010,Crime,13000000,0,6.0
tt0955308,Robin Hood,2010,Action,200000000,310669540,6.3
tt0959329,Nine Dead,2010,Crime,2000000,0,5.2
tt0960067,Heart of Now,2010,Drama,0,0,5.4
tt0960730,Beautiful Darling,2010,Documentary,0,0,6.7
tt0960864,"Truth in Numbers? Everything, According to Wikipedia",2010,Documentary,500000,0,6.6
tt0962764,The House of Sun,2010,Drama,3700000,69948,4.7
tt0963177,Made in Romania,2010,Comedy,2000000,0,4.8
tt0963292,Feast of the Assumption: BTK and the Otero Family Murders,2010,Crime,50000,0,3.7
tt0963966,The Sorcerer's Apprentice,2010,Action,150000000,215283742,5.9
tt0964517,The Fighter,2010,Biography,25000000,93617009,7.3
tt0968264,The Conspirator,2010,Crime,25000000,15478800,6.5
tt0969653,White Wall,2010,Action,250000,0,2.9
tt0970866,Little Fockers,2010,Comedy,100000000,310650585,5.6
tt0970926,The Chosen One,2010,Comedy,0,0,4.3
tt0973809,Headhunter: The Assessment Weekend,2010,Thriller,0,0,3.5
tt0974584,Black Limousine,2010,Drama,2000000,0,5.3
tt0975738,Sinatra Club,2010,Action,2500000,0,3.8
tt0977855,Fair Game,2010,Biography,22000000,24188922,6.6
tt0979434,Lottery Ticket,2010,Comedy,0,0,5.6
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Adventure,155000000,415686217,6.3
tt0984210,Multiple Sarcasms,2010,Drama,0,0,5.9
tt0985694,Machete,2010,Action,20000000,31327899,6.3
tt0988655,A Flat,2010,Drama,0,0,3.3
tt0989757,Dear John,2010,Drama,25000000,114977104,6.8
tt0990363,Detention,2010,Horror,2150000,0,3.5
tt0994917,Adventure Scouts,2010,Action,0,0,6.5
tt0997035,Biblioth?que Pascal,2010,Drama,0,0,6.9
tt0997152,The Experiment,2010,Drama,21800000,0,6.5
tt1001526,Megamind,2010,Action,130000000,321885765,6.8
tt1002965,Call of Life,2010,Documentary,0,0,7.0
tt1006907,Last Breath,2010,Horror,0,0,2.3
tt1013743,Knight and Day,2010,Action,117000000,261930431,6.0
tt1013860,Dylan Dog: Dead of Night,2010,Action,20000000,4634062,4.5
tt1014759,Alice in Wonderland,2010,Adventure,200000000,1025467110,6.6
tt1014799,Holy Wars,2010,Documentary,0,0,7.5
tt1016090,The Cursed,2010,Horror,0,0,4.5
tt1016223,Pax,2010,Drama,18500000,0,5.2
tt1016241,Splintered,2010,Horror,2300000,0,4.8
tt1017451,The Runaways,2010,Biography,10000000,2995811,6.4
tt1017464,The Tortured,2010,Horror,8500000,0,5.3
tt1020558,Centurion,2010,Action,12000000,6814789,6.1
tt1020559,Patagonia,2010,Adventure,0,0,5.1
tt1020773,Certified Copy,2010,Drama,0,0,7.2
tt1020938,Babies,2010,Documentary,0,0,6.9
tt1023114,The Way Back,2010,Adventure,30000000,20348249,6.9
tt1027683,Kill Speed,2010,Action,0,0,4.5
tt1027718,Wall Street: Money Never Sleeps,2010,Drama,70000000,134748021,6.0
tt1028576,Secretariat,2010,Biography,35000000,60251371,7.0
tt1032751,The Warrior's Way,2010,Action,42000000,11087569,6.1
tt1037705,The Book of Eli,2010,Action,80000000,157107755,6.7
tt1038685,The King of Fighters,2010,Action,12000000,0,3.6
tt1038686,Legion,2010,Action,26000000,67918658,5.4
tt1038919,The Bounty Hunter,2010,Action,40000000,136000000,5.8
tt1041778,Let the Game Begin,2010,Comedy,0,0,5.0
tt1041804,The Nutcracker in 3D,2010,Action,90000000,16178959,5.4
tt1043757,Not Another B Movie,2010,Comedy,500000,0,4.3
tt1043800,For the Good of Others,2010,Drama,0,0,5.5
tt1047449,Camp Hell,2010,Drama,3000000,0,3.5
tt1049402,Howl,2010,Biography,5000000,1183258,6.8
tt1049412,The Singularity Is Near,2010,Documentary,5000000,0,6.2
tt1051253,The Portal,2010,Horror,3500000,0,3.0
tt1051715,Lost Everything,2010,Drama,0,0,5.0
tt1053424,Repo Men,2010,Action,32000000,18409891,6.3
tt1053902,One Lucky Elephant,2010,Documentary,0,0,8.0
tt1054677,The Best Things in the World,2010,Comedy,0,0,6.7
